	t	x	y
	0	1e+06	50
	1	1.06114e+06	50.1129
	2	1.12557e+06	50.2331
	3	1.19342e+06	50.361
	4	1.26481e+06	50.497
	5	1.33983e+06	50.6416
	6	1.41862e+06	50.7953
	7	1.50125e+06	50.9585
	8	1.58783e+06	51.1319
	9	1.67844e+06	51.316
	10	1.77315e+06	51.5113
	11	1.87202e+06	51.7185
	12	1.9751e+06	51.9381
	13	2.08243e+06	52.1708
	14	2.19401e+06	52.4173
	15	2.30984e+06	52.6783
	16	2.4299e+06	52.9544
	17	2.55415e+06	53.2464
	18	2.68251e+06	53.555
	19	2.8149e+06	53.8809
	20	2.95119e+06	54.2251
	21	3.09126e+06	54.5881
	22	3.23494e+06	54.9709
	23	3.38204e+06	55.3742
	24	3.53234e+06	55.7989
	25	3.6856e+06	56.2458
	26	3.84158e+06	56.7157
	27	3.99997e+06	57.2095
	28	4.16049e+06	57.728
	29	4.3228e+06	58.272
	30	4.48659e+06	58.8425
	31	4.65149e+06	59.4402
	32	4.81716e+06	60.066
	33	4.98322e+06	60.7207
	34	5.14932e+06	61.4052
	35	5.31508e+06	62.1203
	36	5.48013e+06	62.8667
	37	5.64413e+06	63.6453
	38	5.80671e+06	64.4569
	39	5.96755e+06	65.3023
	40	6.12631e+06	66.1821
	41	6.2827e+06	67.0973
	42	6.43643e+06	68.0485
	43	6.58723e+06	69.0365
	44	6.73486e+06	70.062
	45	6.87911e+06	71.1258
	46	7.01978e+06	72.2284
	47	7.15669e+06	73.3708
	48	7.28972e+06	74.5534
	49	7.41873e+06	75.7772
	50	7.54363e+06	77.0426
	51	7.66436e+06	78.3505
	52	7.78085e+06	79.7015
	53	7.8931e+06	81.0964
	54	8.00108e+06	82.5357
	55	8.10481e+06	84.0203
	56	8.20431e+06	85.5507
	57	8.29964e+06	87.1278
	58	8.39085e+06	88.7523
	59	8.47801e+06	90.4249
	60	8.5612e+06	92.1463
	61	8.64052e+06	93.9173
	62	8.71606e+06	95.7387
	63	8.78793e+06	97.6113
	64	8.85624e+06	99.5359
	65	8.9211e+06	101.513
	66	8.98264e+06	103.544
	67	9.04098e+06	105.63
	68	9.09624e+06	107.771
	69	9.14853e+06	109.969
	70	9.19799e+06	112.223
	71	9.24474e+06	114.536
	72	9.28888e+06	116.909
	73	9.33055e+06	119.342
	74	9.36986e+06	121.836
	75	9.40692e+06	124.392
	76	9.44183e+06	127.012
	77	9.47472e+06	129.697
	78	9.50567e+06	132.448
	79	9.53478e+06	135.266
	80	9.56216e+06	138.152
	81	9.5879e+06	141.108
	82	9.61208e+06	144.135
	83	9.63479e+06	147.235
	84	9.6561e+06	150.408
	85	9.6761e+06	153.656
	86	9.69486e+06	156.98
	87	9.71245e+06	160.383
	88	9.72893e+06	163.865
	89	9.74437e+06	167.429
	90	9.75883e+06	171.075
	91	9.77236e+06	174.806
	92	9.78503e+06	178.623
	93	9.79687e+06	182.527
	94	9.80794e+06	186.522
	95	9.81828e+06	190.608
